Domain,Base Domain,Canonical URL,Agency,Branch
api.18f.gov,18f.gov,https://www.api.18f.gov,General Services Administration,Executive
apps.green.18f.gov,18f.gov,https://apps.green.18f.gov,General Services Administration,Executive
atf-eregs-demo.18f.gov,18f.gov,https://atf-eregs-demo.18f.gov,General Services Administration,Executive
atf-eregs.18f.gov,18f.gov,https://atf-eregs.18f.gov,General Services Administration,Executive
calc-deploy.18f.gov,18f.gov,https://calc-deploy.18f.gov,General Services Administration,Executive
calc-prod.18f.gov,18f.gov,https://calc-prod.18f.gov,General Services Administration,Executive
cap.18f.gov,18f.gov,https://cap.18f.gov,General Services Administration,Executive
dashboard.18f.gov,18f.gov,https://dashboard.18f.gov,General Services Administration,Executive
discovery-staging.18f.gov,18f.gov,https://discovery-staging.18f.gov,General Services Administration,Executive
e-manifest.18f.gov,18f.gov,https://e-manifest.18f.gov,General Services Administration,Executive
eenterprise-portal.18f.gov,18f.gov,https://eenterprise-portal.18f.gov,General Services Administration,Executive
ericsunpredictableroute.cg.18f.gov,18f.gov,http://ericsunpredictableroute.cg.18f.gov,General Services Administration,Executive
fec-dev-proxy.18f.gov,18f.gov,https://fec-dev-proxy.18f.gov,General Services Administration,Executive
fec-feature-proxy.18f.gov,18f.gov,https://fec-feature-proxy.18f.gov,General Services Administration,Executive
fec-prod-eregs.18f.gov,18f.gov,https://fec-prod-eregs.18f.gov,General Services Administration,Executive
fec-prod-web.18f.gov,18f.gov,https://fec-prod-web.18f.gov,General Services Administration,Executive
fec-proxy.18f.gov,18f.gov,https://fec-proxy.18f.gov,General Services Administration,Executive
fec-stage-eregs.18f.gov,18f.gov,https://fec-stage-eregs.18f.gov,General Services Administration,Executive
fec-stage-proxy.18f.gov,18f.gov,https://fec-stage-proxy.18f.gov,General Services Administration,Executive
federalist-docs.18f.gov,18f.gov,https://federalist-docs.18f.gov,General Services Administration,Executive
federalist.18f.gov,18f.gov,https://federalist.18f.gov,General Services Administration,Executive
fnord.cg.18f.gov,18f.gov,http://fnord.cg.18f.gov,General Services Administration,Executive
green.18f.gov,18f.gov,https://green.18f.gov,General Services Administration,Executive
gsaforecast.18f.gov,18f.gov,https://gsaforecast.18f.gov,General Services Administration,Executive
handbook.18f.gov,18f.gov,https://handbook.18f.gov,General Services Administration,Executive
heylookatthis.cg.18f.gov,18f.gov,http://heylookatthis.cg.18f.gov,General Services Administration,Executive
heywut.cg.18f.gov,18f.gov,http://heywut.cg.18f.gov,General Services Administration,Executive
hub.18f.gov,18f.gov,https://hub.18f.gov,General Services Administration,Executive
idsprint.18f.gov,18f.gov,https://idsprint.18f.gov,General Services Administration,Executive
kids-dev.18f.gov,18f.gov,https://kids-dev.18f.gov,General Services Administration,Executive
kids-staging.18f.gov,18f.gov,https://kids-staging.18f.gov,General Services Administration,Executive
kids.18f.gov,18f.gov,https://kids.18f.gov,General Services Administration,Executive
licenses.18f.gov,18f.gov,https://licenses.18f.gov,General Services Administration,Executive
methods.18f.gov,18f.gov,https://methods.18f.gov,General Services Administration,Executive
micropurchase-staging.18f.gov,18f.gov,https://micropurchase-staging.18f.gov,General Services Administration,Executive
micropurchase.18f.gov,18f.gov,https://micropurchase.18f.gov,General Services Administration,Executive
modularcontracting.18f.gov,18f.gov,https://modularcontracting.18f.gov,General Services Administration,Executive
munki.18f.gov,18f.gov,https://www.munki.18f.gov,General Services Administration,Executive
pages-internal.18f.gov,18f.gov,https://pages-internal.18f.gov,General Services Administration,Executive
pages-staging.18f.gov,18f.gov,https://pages-staging.18f.gov,General Services Administration,Executive
pages.18f.gov,18f.gov,https://pages.18f.gov,General Services Administration,Executive
requests.18f.gov,18f.gov,https://requests.18f.gov,General Services Administration,Executive
site.18f.gov,18f.gov,https://site.18f.gov,General Services Administration,Executive
site2.18f.gov,18f.gov,https://site2.18f.gov,General Services Administration,Executive
staging.18f.gov,18f.gov,https://staging.18f.gov,General Services Administration,Executive
sys.green.18f.gov,18f.gov,https://sys.green.18f.gov,General Services Administration,Executive
team-api.18f.gov,18f.gov,https://team-api.18f.gov,General Services Administration,Executive
test1.fpki.18f.gov,18f.gov,http://test1.fpki.18f.gov,General Services Administration,Executive
test10.fpki.18f.gov,18f.gov,http://test10.fpki.18f.gov,General Services Administration,Executive
test2.fpki.18f.gov,18f.gov,http://test2.fpki.18f.gov,General Services Administration,Executive
test3.fpki.18f.gov,18f.gov,http://test3.fpki.18f.gov,General Services Administration,Executive
test4.fpki.18f.gov,18f.gov,http://test4.fpki.18f.gov,General Services Administration,Executive
test5.fpki.18f.gov,18f.gov,http://test5.fpki.18f.gov,General Services Administration,Executive
test6.fpki.18f.gov,18f.gov,http://test6.fpki.18f.gov,General Services Administration,Executive
test7.fpki.18f.gov,18f.gov,http://test7.fpki.18f.gov,General Services Administration,Executive
test8.fpki.18f.gov,18f.gov,http://test8.fpki.18f.gov,General Services Administration,Executive
