Domain,Base Domain,Canonical URL,Agency,Branch,Participates in DAP?
api.18f.gov,18f.gov,https://www.api.18f.gov,General Services Administration,Executive,No
apps.green.18f.gov,18f.gov,https://apps.green.18f.gov,General Services Administration,Executive,No
atf-eregs-demo.18f.gov,18f.gov,https://atf-eregs-demo.18f.gov,General Services Administration,Executive,No
atf-eregs.18f.gov,18f.gov,https://atf-eregs.18f.gov,General Services Administration,Executive,Yes
calc-deploy.18f.gov,18f.gov,https://calc-deploy.18f.gov,General Services Administration,Executive,No
calc-prod.18f.gov,18f.gov,https://calc-prod.18f.gov,General Services Administration,Executive,No
cap.18f.gov,18f.gov,https://cap.18f.gov,General Services Administration,Executive,Yes
dashboard.18f.gov,18f.gov,https://dashboard.18f.gov,General Services Administration,Executive,No
discovery-staging.18f.gov,18f.gov,https://discovery-staging.18f.gov,General Services Administration,Executive,No
e-manifest.18f.gov,18f.gov,https://e-manifest.18f.gov,General Services Administration,Executive,No
eenterprise-portal.18f.gov,18f.gov,https://eenterprise-portal.18f.gov,General Services Administration,Executive,No
ericsunpredictableroute.cg.18f.gov,18f.gov,http://ericsunpredictableroute.cg.18f.gov,General Services Administration,Executive,No
fec-dev-proxy.18f.gov,18f.gov,https://fec-dev-proxy.18f.gov,General Services Administration,Executive,No
fec-feature-proxy.18f.gov,18f.gov,https://fec-feature-proxy.18f.gov,General Services Administration,Executive,No
fec-prod-eregs.18f.gov,18f.gov,https://fec-prod-eregs.18f.gov,General Services Administration,Executive,No
fec-prod-web.18f.gov,18f.gov,https://fec-prod-web.18f.gov,General Services Administration,Executive,No
fec-proxy.18f.gov,18f.gov,https://fec-proxy.18f.gov,General Services Administration,Executive,No
fec-stage-eregs.18f.gov,18f.gov,https://fec-stage-eregs.18f.gov,General Services Administration,Executive,No
fec-stage-proxy.18f.gov,18f.gov,https://fec-stage-proxy.18f.gov,General Services Administration,Executive,No
federalist-docs.18f.gov,18f.gov,https://federalist-docs.18f.gov,General Services Administration,Executive,No
federalist.18f.gov,18f.gov,https://federalist.18f.gov,General Services Administration,Executive,Yes
fnord.cg.18f.gov,18f.gov,http://fnord.cg.18f.gov,General Services Administration,Executive,No
green.18f.gov,18f.gov,https://green.18f.gov,General Services Administration,Executive,No
gsaforecast.18f.gov,18f.gov,https://gsaforecast.18f.gov,General Services Administration,Executive,No
handbook.18f.gov,18f.gov,https://handbook.18f.gov,General Services Administration,Executive,Yes
heylookatthis.cg.18f.gov,18f.gov,http://heylookatthis.cg.18f.gov,General Services Administration,Executive,No
heywut.cg.18f.gov,18f.gov,http://heywut.cg.18f.gov,General Services Administration,Executive,No
hub.18f.gov,18f.gov,https://hub.18f.gov,General Services Administration,Executive,No
idsprint.18f.gov,18f.gov,https://idsprint.18f.gov,General Services Administration,Executive,No
kids-dev.18f.gov,18f.gov,https://kids-dev.18f.gov,General Services Administration,Executive,No
kids-staging.18f.gov,18f.gov,https://kids-staging.18f.gov,General Services Administration,Executive,No
kids.18f.gov,18f.gov,https://kids.18f.gov,General Services Administration,Executive,No
licenses.18f.gov,18f.gov,https://licenses.18f.gov,General Services Administration,Executive,No
methods.18f.gov,18f.gov,https://methods.18f.gov,General Services Administration,Executive,Yes
micropurchase-staging.18f.gov,18f.gov,https://micropurchase-staging.18f.gov,General Services Administration,Executive,No
micropurchase.18f.gov,18f.gov,https://micropurchase.18f.gov,General Services Administration,Executive,Yes
modularcontracting.18f.gov,18f.gov,https://modularcontracting.18f.gov,General Services Administration,Executive,Yes
munki.18f.gov,18f.gov,https://www.munki.18f.gov,General Services Administration,Executive,No
pages-internal.18f.gov,18f.gov,https://pages-internal.18f.gov,General Services Administration,Executive,No
pages-staging.18f.gov,18f.gov,https://pages-staging.18f.gov,General Services Administration,Executive,No
pages.18f.gov,18f.gov,https://pages.18f.gov,General Services Administration,Executive,Yes
requests.18f.gov,18f.gov,https://requests.18f.gov,General Services Administration,Executive,Yes
site.18f.gov,18f.gov,https://site.18f.gov,General Services Administration,Executive,No
site2.18f.gov,18f.gov,https://site2.18f.gov,General Services Administration,Executive,No
staging.18f.gov,18f.gov,https://staging.18f.gov,General Services Administration,Executive,No
sys.green.18f.gov,18f.gov,https://sys.green.18f.gov,General Services Administration,Executive,No
team-api.18f.gov,18f.gov,https://team-api.18f.gov,General Services Administration,Executive,No
test1.fpki.18f.gov,18f.gov,http://test1.fpki.18f.gov,General Services Administration,Executive,No
test10.fpki.18f.gov,18f.gov,http://test10.fpki.18f.gov,General Services Administration,Executive,No
test2.fpki.18f.gov,18f.gov,http://test2.fpki.18f.gov,General Services Administration,Executive,No
test3.fpki.18f.gov,18f.gov,http://test3.fpki.18f.gov,General Services Administration,Executive,No
test4.fpki.18f.gov,18f.gov,http://test4.fpki.18f.gov,General Services Administration,Executive,No
test5.fpki.18f.gov,18f.gov,http://test5.fpki.18f.gov,General Services Administration,Executive,No
test6.fpki.18f.gov,18f.gov,http://test6.fpki.18f.gov,General Services Administration,Executive,No
test7.fpki.18f.gov,18f.gov,http://test7.fpki.18f.gov,General Services Administration,Executive,No
test8.fpki.18f.gov,18f.gov,http://test8.fpki.18f.gov,General Services Administration,Executive,No
test9.fpki.18f.gov,18f.gov,http://test9.fpki.18f.gov,General Services Administration,Executive,No
this.cg.18f.gov,18f.gov,http://this.cg.18f.gov,General Services Administration,Executive,No
tock.18f.gov,18f.gov,https://tock.18f.gov,General Services Administration,Executive,No
upaya-demo.18f.gov,18f.gov,https://upaya-demo.18f.gov,General Services Administration,Executive,No
upaya-dev.18f.gov,18f.gov,https://upaya-dev.18f.gov,General Services Administration,Executive,No
upaya-idp-demo.18f.gov,18f.gov,https://upaya-idp-demo.18f.gov,General Services Administration,Executive,No
upaya-idp-dev.18f.gov,18f.gov,https://upaya-idp-dev.18f.gov,General Services Administration,Executive,No
upaya-idp-qa.18f.gov,18f.gov,https://upaya-idp-qa.18f.gov,General Services Administration,Executive,No
upaya-idv-demo.18f.gov,18f.gov,https://upaya-idv-demo.18f.gov,General Services Administration,Executive,No
upaya-idv-dev.18f.gov,18f.gov,https://upaya-idv-dev.18f.gov,General Services Administration,Executive,No
upaya-idv-qa.18f.gov,18f.gov,https://upaya-idv-qa.18f.gov,General Services Administration,Executive,No
upaya-qa.18f.gov,18f.gov,https://upaya-qa.18f.gov,General Services Administration,Executive,No
upaya-rp-demo.18f.gov,18f.gov,https://upaya-rp-demo.18f.gov,General Services Administration,Executive,No
upaya-rp-dev.18f.gov,18f.gov,https://upaya-rp-dev.18f.gov,General Services Administration,Executive,No
upaya-rp-qa.18f.gov,18f.gov,https://upaya-rp-qa.18f.gov,General Services Administration,Executive,No
upaya-sp-demo.18f.gov,18f.gov,https://upaya-sp-demo.18f.gov,General Services Administration,Executive,No
upaya-sp-dev.18f.gov,18f.gov,https://upaya-sp-dev.18f.gov,General Services Administration,Executive,No
upaya-sp-qa.18f.gov,18f.gov,https://upaya-sp-qa.18f.gov,General Services Administration,Executive,No
www.federalist-docs.18f.gov,18f.gov,http://www.www.federalist-docs.18f.gov,General Services Administration,Executive,No
www.munki.18f.gov,18f.gov,http://www.www.munki.18f.gov,General Services Administration,Executive,No
www.staging.18f.gov,18f.gov,http://www.www.staging.18f.gov,General Services Administration,Executive,No
9-11commission.gov,9-11commission.gov,https://9-11commission.gov,National Archives and Records Administration,Executive,No
911.gov,911.gov,https://www.911.gov,Department of Transportation,Executive,No
resourcecenter.911.gov,911.gov,https://resourcecenter.911.gov,Department of Transportation,Executive,No
911commission.gov,911commission.gov,https://911commission.gov,National Archives and Records Administration,Executive,No
abandonedmines.gov,abandonedmines.gov,http://www.abandonedmines.gov,Department of the Interior,Executive,No
abilityone.gov,abilityone.gov,http://abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
autodiscover.abilityone.gov,abilityone.gov,http://autodiscover.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
distributor.abilityone.gov,abilityone.gov,http://distributor.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
jwodmail.abilityone.gov,abilityone.gov,http://jwodmail.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
jwodvmsec.abilityone.gov,abilityone.gov,http://jwodvmsec.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
plimsvote.abilityone.gov,abilityone.gov,http://plimsvote.abilityone.gov,Comm for People Who Are Blind/Severly Disabled,Executive,No
abmc.gov,abmc.gov,https://abmc.gov,American Battle Monuments Commission,Executive,Yes
mail2.abmc.gov,abmc.gov,http://mail2.abmc.gov,American Battle Monuments Commission,Executive,No
webmail.abmc.gov,abmc.gov,http://webmail.abmc.gov,American Battle Monuments Commission,Executive,No
access-board.gov,access-board.gov,https://www.access-board.gov,U. S. Access Board,Executive,Yes
achp.gov,achp.gov,http://achp.gov,Advisory Council on Historic Preservation,Executive,No
vpn.achp.gov,achp.gov,http://vpn.achp.gov,Advisory Council on Historic Preservation,Executive,No
acl.gov,acl.gov,https://acl.gov,Department of Health And Human Services,Executive,No
adrc-tae.acl.gov,acl.gov,https://www.adrc-tae.acl.gov,Department of Health And Human Services,Executive,No
agid.acl.gov,acl.gov,http://www.agid.acl.gov,Department of Health And Human Services,Executive,No
alzheimers.acl.gov,acl.gov,https://alzheimers.acl.gov,Department of Health And Human Services,Executive,No
aoa.acl.gov,acl.gov,https://aoa.acl.gov,Department of Health And Human Services,Executive,No
apps.acl.gov,acl.gov,https://apps.acl.gov,Department of Health And Human Services,Executive,No
brainhealth.acl.gov,acl.gov,https://brainhealth.acl.gov,Department of Health And Human Services,Executive,No
data.acl.gov,acl.gov,https://data.acl.gov,Department of Health And Human Services,Executive,No
icdr.acl.gov,acl.gov,http://icdr.acl.gov,Department of Health And Human Services,Executive,No
icdrteam.acl.gov,acl.gov,https://www.icdrteam.acl.gov,Department of Health And Human Services,Executive,No
mis.acl.gov,acl.gov,https://mis.acl.gov,Department of Health And Human Services,Executive,No
nadrc.acl.gov,acl.gov,https://nadrc.acl.gov,Department of Health And Human Services,Executive,No
ncea.acl.gov,acl.gov,https://ncea.acl.gov,Department of Health And Human Services,Executive,No
nlrc.acl.gov,acl.gov,https://nlrc.acl.gov,Department of Health And Human Services,Executive,No
oam.acl.gov,acl.gov,https://oam.acl.gov,Department of Health And Human Services,Executive,No
olderindians.acl.gov,acl.gov,https://olderindians.acl.gov,Department of Health And Human Services,Executive,No
shipnpr.acl.gov,acl.gov,https://shipnpr.acl.gov,Department of Health And Human Services,Executive,No
stg.adrc-tae.acl.gov,acl.gov,http://stg.adrc-tae.acl.gov,Department of Health And Human Services,Executive,No
www.adrc-tae.acl.gov,acl.gov,http://www.adrc-tae.acl.gov,Department of Health And Human Services,Executive,No
www.agid.acl.gov,acl.gov,http://www.agid.acl.gov,Department of Health And Human Services,Executive,No
www.aoa.acl.gov,acl.gov,http://www.aoa.acl.gov,Department of Health And Human Services,Executive,No
www.brainhealth.acl.gov,acl.gov,http://www.brainhealth.acl.gov,Department of Health And Human Services,Executive,No
www.data.acl.gov,acl.gov,http://www.data.acl.gov,Department of Health And Human Services,Executive,No
www.icdr.acl.gov,acl.gov,http://www.icdr.acl.gov,Department of Health And Human Services,Executive,No
www.icdrteam.acl.gov,acl.gov,https://www.icdrteam.acl.gov,Department of Health And Human Services,Executive,No
www.mis.acl.gov,acl.gov,http://www.mis.acl.gov,Department of Health And Human Services,Executive,No
www.nadrc.acl.gov,acl.gov,http://www.nadrc.acl.gov,Department of Health And Human Services,Executive,No
www.ncea.acl.gov,acl.gov,http://www.ncea.acl.gov,Department of Health And Human Services,Executive,No
www.olderindians.acl.gov,acl.gov,http://www.olderindians.acl.gov,Department of Health And Human Services,Executive,No
www.shipnpr.acl.gov,acl.gov,https://www.shipnpr.acl.gov,Department of Health And Human Services,Executive,No
acquisition.gov,acquisition.gov,https://www.acquisition.gov,General Services Administration,Executive,Yes
acus.gov,acus.gov,https://www.acus.gov,Administrative Conference of the United States,Executive,No
acwi.gov,acwi.gov,https://acwi.gov,Department of the Interior,Executive,Yes
ada.gov,ada.gov,https://www.ada.gov,Department of Justice,Executive,Yes
search.ada.gov,ada.gov,https://search.ada.gov,Department of Justice,Executive,Yes
adf.gov,adf.gov,http://adf.gov,African Development Foundation,Executive,No
0sud2zwje3.adlnet.gov,adlnet.gov,http://0sud2zwje3.adlnet.gov,Department of Defense,Executive,No
222.adlnet.gov,adlnet.gov,http://222.adlnet.gov,Department of Defense,Executive,No
2www.adlnet.gov,adlnet.gov,http://2www.adlnet.gov,Department of Defense,Executive,No
3dr.adlnet.gov,adlnet.gov,http://3dr.adlnet.gov,Department of Defense,Executive,No
3lzbivapdo.adlnet.gov,adlnet.gov,http://3lzbivapdo.adlnet.gov,Department of Defense,Executive,No
abpxnd1ery.adlnet.gov,adlnet.gov,http://abpxnd1ery.adlnet.gov,Department of Defense,Executive,No
adlnet.gov,adlnet.gov,https://www.adlnet.gov,Department of Defense,Executive,Yes
adlregistry.adlnet.gov,adlnet.gov,http://www.adlregistry.adlnet.gov,Department of Defense,Executive,No
adlx.adlnet.gov,adlnet.gov,http://www.adlx.adlnet.gov,Department of Defense,Executive,No
atlaspro.adlnet.gov,adlnet.gov,http://atlaspro.adlnet.gov,Department of Defense,Executive,No
be0dkstzcq.adlnet.gov,adlnet.gov,http://be0dkstzcq.adlnet.gov,Department of Defense,Executive,No
blzop1tne5.adlnet.gov,adlnet.gov,http://blzop1tne5.adlnet.gov,Department of Defense,Executive,No
handbook.adlnet.gov,adlnet.gov,http://handbook.adlnet.gov,Department of Defense,Executive,No
http.adlnet.gov,adlnet.gov,http://http.adlnet.gov,Department of Defense,Executive,No
ifest.adlnet.gov,adlnet.gov,http://ifest.adlnet.gov,Department of Defense,Executive,No
legacy.adlnet.gov,adlnet.gov,http://www.legacy.adlnet.gov,Department of Defense,Executive,No
lrs.adlnet.gov,adlnet.gov,https://lrs.adlnet.gov,Department of Defense,Executive,Yes
mft.adlnet.gov,adlnet.gov,http://mft.adlnet.gov,Department of Defense,Executive,No
mlearn.adlnet.gov,adlnet.gov,http://mlearn.adlnet.gov,Department of Defense,Executive,No
research.adlnet.gov,adlnet.gov,http://research.adlnet.gov,Department of Defense,Executive,No
rustici.adlnet.gov,adlnet.gov,http://www.rustici.adlnet.gov,Department of Defense,Executive,No
sandbox.adlnet.gov,adlnet.gov,http://sandbox.adlnet.gov,Department of Defense,Executive,No
sandboxtest.adlnet.gov,adlnet.gov,http://sandboxtest.adlnet.gov,Department of Defense,Executive,No
spider.adlnet.gov,adlnet.gov,http://www.spider.adlnet.gov,Department of Defense,Executive,No
svn.adlnet.gov,adlnet.gov,http://svn.adlnet.gov,Department of Defense,Executive,No
tincan.adlnet.gov,adlnet.gov,http://tincan.adlnet.gov,Department of Defense,Executive,No
tinycan.adlnet.gov,adlnet.gov,http://tinycan.adlnet.gov,Department of Defense,Executive,No
tip.adlnet.gov,adlnet.gov,http://tip.adlnet.gov,Department of Defense,Executive,No
vwf.adlnet.gov,adlnet.gov,http://vwf.adlnet.gov,Department of Defense,Executive,Yes
wordpress.adlnet.gov,adlnet.gov,http://wordpress.adlnet.gov,Department of Defense,Executive,No
www.3dr.adlnet.gov,adlnet.gov,http://www.3dr.adlnet.gov,Department of Defense,Executive,No
www.adlregistry.adlnet.gov,adlnet.gov,http://www.adlregistry.adlnet.gov,Department of Defense,Executive,No
www.free.adlnet.gov,adlnet.gov,http://www.free.adlnet.gov,Department of Defense,Executive,No
www.handbook.adlnet.gov,adlnet.gov,http://www.handbook.adlnet.gov,Department of Defense,Executive,No
www.mlhandbook.adlnet.gov,adlnet.gov,http://www.mlhandbook.adlnet.gov,Department of Defense,Executive,No
www.tincan.adlnet.gov,adlnet.gov,http://www.tincan.adlnet.gov,Department of Defense,Executive,No
www.xapi.adlnet.gov,adlnet.gov,http://www.www.xapi.adlnet.gov,Department of Defense,Executive,No
admongo.gov,admongo.gov,https://www.admongo.gov,Federal Trade Commission,Executive,Yes
game.admongo.gov,admongo.gov,https://game.admongo.gov,Federal Trade Commission,Executive,Yes
survey.admongo.gov,admongo.gov,https://survey.admongo.gov,Federal Trade Commission,Executive,No
adr.gov,adr.gov,https://www.adr.gov,Department of Justice,Executive,Yes
search.adr.gov,adr.gov,https://search.adr.gov,Department of Justice,Executive,Yes
afadvantage.gov,afadvantage.gov,https://afadvantage.gov,General Services Administration,Executive,Yes
aff.gov,aff.gov,http://www.aff.gov,Department of Agriculture,Executive,No
afrh.gov,afrh.gov,https://www.afrh.gov,Armed Forces Retirement Home,Executive,No
apps.tucson.ars.ag.gov,ag.gov,http://apps.tucson.ars.ag.gov,Department of Agriculture,Executive,No
dss.tucson.ars.ag.gov,ag.gov,http://dss.tucson.ars.ag.gov,Department of Agriculture,Executive,No
dssweb.tucson.ars.ag.gov,ag.gov,http://dssweb.tucson.ars.ag.gov,Department of Agriculture,Executive,No
typhoon.tucson.ars.ag.gov,ag.gov,http://typhoon.tucson.ars.ag.gov,Department of Agriculture,Executive,No
agingstats.gov,agingstats.gov,https://agingstats.gov,Department of Health And Human Services,Executive,No
accounts.ahrq.gov,ahrq.gov,https://accounts.ahrq.gov,Department of Health And Human Services,Executive,No
ahrq.gov,ahrq.gov,https://www.ahrq.gov,Department of Health And Human Services,Executive,Yes
ahrqasprod2.ahrq.gov,ahrq.gov,http://ahrqasprod2.ahrq.gov,Department of Health And Human Services,Executive,No
ahrqpubs.ahrq.gov,ahrq.gov,https://ahrqpubs.ahrq.gov,Department of Health And Human Services,Executive,Yes
api.daa.ahrq.gov,ahrq.gov,http://api.daa.ahrq.gov,Department of Health And Human Services,Executive,No
archive.ahrq.gov,ahrq.gov,https://archive.ahrq.gov,Department of Health And Human Services,Executive,No
arrs.ahrq.gov,ahrq.gov,https://arrs.ahrq.gov,Department of Health And Human Services,Executive,Yes
arrstest.ahrq.gov,ahrq.gov,https://arrstest.ahrq.gov,Department of Health And Human Services,Executive,No
autodiscover.ahrq.gov,ahrq.gov,http://autodiscover.ahrq.gov,Department of Health And Human Services,Executive,No
cahps.ahrq.gov,ahrq.gov,http://www.cahps.ahrq.gov,Department of Health And Human Services,Executive,No
cahpsdatabase.ahrq.gov,ahrq.gov,https://cahpsdatabase.ahrq.gov,Department of Health And Human Services,Executive,Yes
ce.ahrq.gov,ahrq.gov,http://ce.ahrq.gov,Department of Health And Human Services,Executive,No
ce.effectivehealthcare.ahrq.gov,ahrq.gov,https://ce.effectivehealthcare.ahrq.gov,Department of Health And Human Services,Executive,No
chiprapqm.ahrq.gov,ahrq.gov,https://chiprapqm.ahrq.gov,Department of Health And Human Services,Executive,No
cma.ahrq.gov,ahrq.gov,https://cma.ahrq.gov,Department of Health And Human Services,Executive,No
cpsi.ahrq.gov,ahrq.gov,http://cpsi.ahrq.gov,Department of Health And Human Services,Executive,No
dam.ahrq.gov,ahrq.gov,http://dam.ahrq.gov,Department of Health And Human Services,Executive,No
distributor.hcup-us.ahrq.gov,ahrq.gov,https://www.distributor.hcup-us.ahrq.gov,Department of Health And Human Services,Executive,No
docs.ahrq.gov,ahrq.gov,https://docs.ahrq.gov,Department of Health And Human Services,Executive,No
docstest.ahrq.gov,ahrq.gov,https://docstest.ahrq.gov,Department of Health And Human Services,Executive,No
effectivehealthcare.ahrq.gov,ahrq.gov,http://effectivehealthcare.ahrq.gov,Department of Health And Human Services,Executive,Yes
elb.ahrq.gov,ahrq.gov,http://elb.ahrq.gov,Department of Health And Human Services,Executive,No
epss.ahrq.gov,ahrq.gov,http://epss.ahrq.gov,Department of Health And Human Services,Executive,Yes
epssdata.ahrq.gov,ahrq.gov,https://epssdata.ahrq.gov,Department of Health And Human Services,Executive,No
epsstest.ahrq.gov,ahrq.gov,http://epsstest.ahrq.gov,Department of Health And Human Services,Executive,No
faqhit.ahrq.gov,ahrq.gov,https://faqhit.ahrq.gov,Department of Health And Human Services,Executive,No
faqtac.ahrq.gov,ahrq.gov,https://faqtac.ahrq.gov,Department of Health And Human Services,Executive,No
gold.ahrq.gov,ahrq.gov,https://gold.ahrq.gov,Department of Health And Human Services,Executive,Yes
hcup-us.ahrq.gov,ahrq.gov,https://hcup-us.ahrq.gov,Department of Health And Human Services,Executive,Yes
hcup.ahrq.gov,ahrq.gov,http://hcup.ahrq.gov,Department of Health And Human Services,Executive,No
hcupnet-archive.ahrq.gov,ahrq.gov,https://hcupnet-archive.ahrq.gov,Department of Health And Human Services,Executive,Yes
hcupnet.ahrq.gov,ahrq.gov,https://hcupnet.ahrq.gov,Department of Health And Human Services,Executive,Yes
healthcare411.ahrq.gov,ahrq.gov,http://www.healthcare411.ahrq.gov,Department of Health And Human Services,Executive,No
